,0,1,symbol,name,time,openPrice,highPrice,lowPrice,preClose,bid1Price,ask1Price,lastPrice,settlePrice,preSettlePrice,bid1Vol,ask1Vol,openInterest,Vol,exchange,product,date,statusId,highPrice,unknown1,highPrice,unknown2,unknown3,unknown2,unknown4,unknown5,unknown6,symbolalpha
11,"
var hq_str_Y0","""豆油连续,150014,5904.00,5926.00,5866.00,5916.00,5868.00,5870.00,5870.00,5892.00,5926.00,113,6,875414,374556,连,豆油,2018-10-16,0,6010.000,5836.000,6010.000,5770.000,6010.000,5732.000,6010.000,5474.000,65.583""",Y0,"""豆油连续",150014,5904.00,5926.00,5866.00,5916.00,5868.00,5870.00,5870.00,5892.00,5926.00,113,6,875414,374556,连,豆油,2018-10-16,0,6010.000,5836.000,6010.000,5770.000,6010.000,5732.000,6010.000,5474.000,"65.583""",Y
12,"
var hq_str_J0","""焦炭连续,150014,2480.00,2498.00,2429.00,2477.00,2448.00,2449.00,2449.00,2467.50,2512.00,367,2,362236,655758,连,焦炭,2018-10-16,0,2554.000,2315.000,2554.000,2199.000,2554.000,2199.000,2721.000,2052.000,74.883""",J0,"""焦炭连续",150014,2480.00,2498.00,2429.00,2477.00,2448.00,2449.00,2449.00,2467.50,2512.00,367,2,362236,655758,连,焦炭,2018-10-16,0,2554.000,2315.000,2554.000,2199.000,2554.000,2199.000,2721.000,2052.000,"74.883""",J
13,"
var hq_str_C0","""玉米连续,150014,1855.00,1859.00,1850.00,1854.00,1854.00,1855.00,1855.00,1854.00,1855.00,33,1539,840668,242994,连,玉米,2018-10-16,0,1871.000,1840.000,1880.000,1840.000,1929.000,1840.000,1939.000,1823.000,16.033""",C0,"""玉米连续",150014,1855.00,1859.00,1850.00,1854.00,1854.00,1855.00,1855.00,1854.00,1855.00,33,1539,840668,242994,连,玉米,2018-10-16,0,1871.000,1840.000,1880.000,1840.000,1929.000,1840.000,1939.000,1823.000,"16.033""",C
14,"
var hq_str_L0","""塑料连续,150014,9510.00,9540.00,9335.00,9520.00,9400.00,9405.00,9400.00,9440.00,9550.00,9,2,334716,367028,连,塑料,2018-10-16,0,9840.000,9485.000,9840.000,9350.000,9840.000,9235.000,9870.000,9235.000,111.389""",L0,"""塑料连续",150014,9510.00,9540.00,9335.00,9520.00,9400.00,9405.00,9400.00,9440.00,9550.00,9,2,334716,367028,连,塑料,2018-10-16,0,9840.000,9485.000,9840.000,9350.000,9840.000,9235.000,9870.000,9235.000,"111.389""",L
15,"
var hq_str_P0","""棕榈连续,150014,4806.00,4826.00,4776.00,4808.00,4784.00,4786.00,4786.00,4796.00,4816.00,49,192,486028,280330,连,棕榈,2018-10-16,0,4838.000,4682.000,4838.000,4670.000,4944.000,4644.000,5006.000,4644.000,62.447""",P0,"""棕榈连续",150014,4806.00,4826.00,4776.00,4808.00,4784.00,4786.00,4786.00,4796.00,4816.00,49,192,486028,280330,连,棕榈,2018-10-16,0,4838.000,4682.000,4838.000,4670.000,4944.000,4644.000,5006.000,4644.000,"62.447""",P
16,"
var hq_str_V0","""PVC连续,150014,6655.00,6665.00,6475.00,6665.00,6510.00,6515.00,6510.00,6555.00,6695.00,274,98,300842,408606,连,PVC,2018-10-16,0,6900.000,6630.000,6900.000,6560.000,6900.000,6560.000,7490.000,6560.000,115.625""",V0,"""PVC连续",150014,6655.00,6665.00,6475.00,6665.00,6510.00,6515.00,6510.00,6555.00,6695.00,274,98,300842,408606,连,PVC,2018-10-16,0,6900.000,6630.000,6900.000,6560.000,6900.000,6560.000,7490.000,6560.000,"115.625""",V
17,"
var hq_str_PP0","""PP连续,150002,10260.00,10290.00,10073.00,10272.00,10146.00,10149.00,10149.00,10190.00,10369.00,4,7,473506,499798,连,PP,2018-10-16,0,10642.000,10270.000,10642.000,9855.000,10642.000,9680.000,10642.000,9350.000,154.147""",PP0,"""PP连续",150002,10260.00,10290.00,10073.00,10272.00,10146.00,10149.00,10149.00,10190.00,10369.00,4,7,473506,499798,连,PP,2018-10-16,0,10642.000,10270.000,10642.000,9855.000,10642.000,9680.000,10642.000,9350.000,"154.147""",PP
18,"
var hq_str_RS0","""菜籽连续,143614,5497.00,5497.00,5449.00,5473.00,5438.00,5505.00,0.00,5473.00,5473.00,2,1,24,4,郑,菜籽,2018-10-16,0,5497.000,5300.000,5497.000,5300.000,5638.000,5224.000,5894.000,4584.000,148.559""",RS0,"""菜籽连续",143614,5497.00,5497.00,5449.00,5473.00,5438.00,5505.00,0.00,5473.00,5473.00,2,1,24,4,郑,菜籽,2018-10-16,0,5497.000,5300.000,5497.000,5300.000,5638.000,5224.000,5894.000,4584.000,"148.559""",RS
19,"
var hq_str_RM0","""菜粕连续,150014,2591.00,2629.00,2574.00,2590.00,2592.00,2593.00,2593.00,2599.00,2593.00,24,945,725638,1361702,郑,菜粕,2018-10-16,0,2642.000,2568.000,2642.000,2400.000,2642.000,2311.000,2642.000,2311.000,44.118""",RM0,"""菜粕连续",150014,2591.00,2629.00,2574.00,2590.00,2592.00,2593.00,2593.00,2599.00,2593.00,24,945,725638,1361702,郑,菜粕,2018-10-16,0,2642.000,2568.000,2642.000,2400.000,2642.000,2311.000,2642.000,2311.000,"44.118""",RM
20,"
var hq_str_FG0","""玻璃连续,150014,1321.00,1328.00,1313.00,1322.00,1318.00,1319.00,1318.00,1320.00,1324.00,135,258,225924,134424,郑,玻璃,2018-10-16,0,1354.000,1311.000,1378.000,1306.000,1378.000,1306.000,1505.000,1306.000,23.308""",FG0,"""玻璃连续",150014,1321.00,1328.00,1313.00,1322.00,1318.00,1319.00,1318.00,1320.00,1324.00,135,258,225924,134424,郑,玻璃,2018-10-16,0,1354.000,1311.000,1378.000,1306.000,1378.000,1306.000,1505.000,1306.000,"23.308""",FG
21,"
var hq_str_CF0","""棉花连续,150014,15600.00,15600.00,15390.00,15605.00,15450.00,15455.00,15450.00,15500.00,15620.00,11,18,402166,161744,郑,棉花,2018-10-16,0,15730.000,15260.000,16110.000,15260.000,16720.000,15260.000,17555.000,15260.000,250.160""",CF0,"""棉花连续",150014,15600.00,15600.00,15390.00,15605.00,15450.00,15455.00,15450.00,15500.00,15620.00,11,18,402166,161744,郑,棉花,2018-10-16,0,15730.000,15260.000,16110.000,15260.000,16720.000,15260.000,17555.000,15260.000,"250.160""",CF
22,"
var hq_str_MA0","""郑醇连续,150014,3462.00,3465.00,3336.00,3466.00,3367.00,3368.00,3367.00,3404.00,3487.00,19,28,879906,1977950,郑,郑醇,2018-10-16,0,3525.000,3314.000,3525.000,3193.000,3525.000,3193.000,3525.000,2891.000,78.784""",MA0,"""郑醇连续",150014,3462.00,3465.00,3336.00,3466.00,3367.00,3368.00,3367.00,3404.00,3487.00,19,28,879906,1977950,郑,郑醇,2018-10-16,0,3525.000,3314.000,3525.000,3193.000,3525.000,3193.000,3525.000,2891.000,"78.784""",MA
23,"
var hq_str_TA0","""PTA连续,150014,7406.00,7410.00,7238.00,7406.00,7288.00,7290.00,7288.00,7292.00,7404.00,72,17,933246,1066204,郑,PTA,2018-10-16,0,7610.000,7290.000,7610.000,7096.000,7796.000,7086.000,8062.000,6008.000,168.128""",TA0,"""PTA连续",150014,7406.00,7410.00,7238.00,7406.00,7288.00,7290.00,7288.00,7292.00,7404.00,72,17,933246,1066204,郑,PTA,2018-10-16,0,7610.000,7290.000,7610.000,7096.000,7796.000,7086.000,8062.000,6008.000,"168.128""",TA
24,"
var hq_str_SR0","""白糖连续,150014,5150.00,5188.00,5119.00,5116.00,5130.00,5131.00,5131.00,5157.00,5133.00,272,18,416678,728676,郑,白糖,2018-10-16,0,5249.000,5051.000,5249.000,4875.000,5249.000,4840.000,5249.000,4803.000,71.225""",SR0,"""白糖连续",150014,5150.00,5188.00,5119.00,5116.00,5130.00,5131.00,5131.00,5157.00,5133.00,272,18,416678,728676,郑,白糖,2018-10-16,0,5249.000,5051.000,5249.000,4875.000,5249.000,4840.000,5249.000,4803.000,"71.225""",SR
25,"
",,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
