,0,1,symbol,name,time,openPrice,highPrice,lowPrice,preClose,bid1Price,ask1Price,lastPrice,settlePrice,preSettlePrice,bid1Vol,ask1Vol,openInterest,Vol,exchange,product,date,statusId,highPrice,unknown1,highPrice,unknown2,unknown3,unknown2,unknown4,unknown5,unknown6,symbolalpha
0,var hq_str_RB1901,"""ÂÝÎÆ¸Ö1901,150014,4160.00,4167.00,4105.00,4150.00,4117.00,4118.00,4117.00,4137.00,4131.00,66,5,2692326,3358584,»¦,ÂÝÎÆ¸Ö,2018-10-16,1,4166.000,3958.000,4166.000,3904.000,4299.000,3904.000,4418.000,3748.000,85.913""",RB1901,"""ÂÝÎÆ¸Ö1901",150014,4160.00,4167.00,4105.00,4150.00,4117.00,4118.00,4117.00,4137.00,4131.00,66,5,2692326,3358584,»¦,ÂÝÎÆ¸Ö,2018-10-16,1,4166.000,3958.000,4166.000,3904.000,4299.000,3904.000,4418.000,3748.000,"85.913""",RB
1,"
var hq_str_M1901","""¶¹ÆÉ1901,150248,3432.00,3461.00,3402.00,3433.00,3424.00,3425.00,3425.00,3428.00,3438.00,199,96,2248416,2169196,Á¬,¶¹ÆÉ,2018-10-16,1,3539.000,3407.000,3539.000,3210.000,3539.000,3077.000,3539.000,3024.000,56.978""",M1901,"""¶¹ÆÉ1901",150248,3432.00,3461.00,3402.00,3433.00,3424.00,3425.00,3425.00,3428.00,3438.00,199,96,2248416,2169196,Á¬,¶¹ÆÉ,2018-10-16,1,3539.000,3407.000,3539.000,3210.000,3539.000,3077.000,3539.000,3024.000,"56.978""",M
2,"
var hq_str_L1901","""ËÜÁÏ1901,150014,9510.00,9540.00,9335.00,9520.00,9400.00,9405.00,9400.00,9440.00,9550.00,9,2,334716,367028,Á¬,ËÜÁÏ,2018-10-16,1,9840.000,9485.000,9840.000,9350.000,9840.000,9235.000,9870.000,9235.000,110.235""",L1901,"""ËÜÁÏ1901",150014,9510.00,9540.00,9335.00,9520.00,9400.00,9405.00,9400.00,9440.00,9550.00,9,2,334716,367028,Á¬,ËÜÁÏ,2018-10-16,1,9840.000,9485.000,9840.000,9350.000,9840.000,9235.000,9870.000,9235.000,"110.235""",L
3,"
var hq_str_SR1901","""°×ÌÇ1901,150014,5150.00,5188.00,5119.00,5116.00,5130.00,5131.00,5131.00,5157.00,5133.00,272,18,416678,728676,Ö£,°×ÌÇ,2018-10-16,1,5249.000,5051.000,5249.000,4875.000,5249.000,4840.000,5249.000,4840.000,71.655""",SR1901,"""°×ÌÇ1901",150014,5150.00,5188.00,5119.00,5116.00,5130.00,5131.00,5131.00,5157.00,5133.00,272,18,416678,728676,Ö£,°×ÌÇ,2018-10-16,1,5249.000,5051.000,5249.000,4875.000,5249.000,4840.000,5249.000,4840.000,"71.655""",SR
4,"
var hq_str_P1901","""×Øéµ1901,150014,4806.00,4826.00,4776.00,4808.00,4784.00,4786.00,4786.00,4796.00,4816.00,49,192,486028,280330,Á¬,×Øéµ,2018-10-16,1,4838.000,4682.000,4838.000,4670.000,4944.000,4644.000,5006.000,4644.000,62.032""",P1901,"""×Øéµ1901",150014,4806.00,4826.00,4776.00,4808.00,4784.00,4786.00,4786.00,4796.00,4816.00,49,192,486028,280330,Á¬,×Øéµ,2018-10-16,1,4838.000,4682.000,4838.000,4670.000,4944.000,4644.000,5006.000,4644.000,"62.032""",P
5,"
",,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
